"user_id","status_id","created_at","screen_name","date"
"139266780",1502301682759259904,"2022-03-11 15:13:27","HumbertoTumini","2022-03-11"
"141286250",1502265468836630016,"2022-03-11 12:49:33","GugaLusto","2022-03-11"
"1428139058",1502360249566579968,"2022-03-11 19:06:10","RomeroxSalta","2022-03-11"
"143502765",1501239846240549888,"2022-03-08 16:54:05","JulioPiumato","2022-03-11"
"143689068",1502371673978380032,"2022-03-11 19:51:34","minsaurralde","2022-03-11"
"143852870",1502286720842319872,"2022-03-11 14:14:00","jmcapitanich","2022-03-11"
"144307376",1502232891220059904,"2022-03-11 10:40:06","ansesgob","2022-03-11"
"144598281",1502337518833829888,"2022-03-11 17:35:51","brendalisaustin","2022-03-11"
"144929758",1502047124653019904,"2022-03-10 22:21:55","msalnacion","2022-03-11"
"145685744",1502307326992300032,"2022-03-11 15:35:52","aliciakirchner","2022-03-11"
"1469894064",1499423454482690048,"2022-03-03 16:36:24","german_garavano","2022-03-11"
"1475504383",1502263919582520064,"2022-03-11 12:43:23","SergioBerniArg","2022-03-11"
"148194379",1502047870085710080,"2022-03-10 22:24:53","RobertoFeletti","2022-03-11"
"1483041949",1502283635424219904,"2022-03-11 14:01:44","MinSeg","2022-03-11"
"148536486",1502262897723899904,"2022-03-11 12:39:20","gmmarangoni","2022-03-11"
"148612768",1502239436435719936,"2022-03-11 11:06:06","FlorLampreabe","2022-03-11"
"148752676",1502342278286769920,"2022-03-11 17:54:45","juanabalmedina","2022-03-11"
"149991703",1502325306685669888,"2022-03-11 16:47:19","alferdez","2022-03-11"
"150123282",1501983786203940096,"2022-03-10 18:10:14","ipetrella","2022-03-11"
"150441535",1502279433507510016,"2022-03-11 13:45:02","MercedesJoury","2022-03-11"
"150684554",1502267431900699904,"2022-03-11 12:57:21","_alvarogonzalez","2022-03-11"
"151455817",1449775214972199936,"2021-10-17 16:32:01","dalmaciomera","2022-03-11"
"151953199",1502040472746870016,"2022-03-10 21:55:29","fpensar","2022-03-11"
"152835465",1502050287598589952,"2022-03-10 22:34:29","JuanGrabois","2022-03-11"
"153459179",1497212963354289920,"2022-02-25 14:12:41","martinmaquieyra","2022-03-11"
"154184640",1502320925886269952,"2022-03-11 16:29:55","Maxiferraro","2022-03-11"
"154731462",1502272412879970048,"2022-03-11 13:17:08","Ale_Bodart","2022-03-11"
"1548769874",1502094871921769984,"2022-03-11 01:31:39","JCAlderete_CCC","2022-03-11"
"155044742",1499073428380260096,"2022-03-02 17:25:31","jorgeelacoste","2022-03-11"
"1550784409",1502367311470080000,"2022-03-11 19:34:14","MaraBrawer","2022-03-11"
"155434166",1502363134492879872,"2022-03-11 19:17:38","AmelieGranata","2022-03-11"
"155639783",1502309252832049920,"2022-03-11 15:43:32","ceciliamoreauok","2022-03-11"
"1556496817",1502382640367869952,"2022-03-11 20:35:09","Yaco_Emiliano","2022-03-11"
"155740660",1502401007799749888,"2022-03-11 21:48:08","marcoscleri","2022-03-11"
"1559163650",1502402109140049920,"2022-03-11 21:52:30","CarlaCarrizoAR","2022-03-11"
"157151068",1501283119470500096,"2022-03-08 19:46:02","carlavizzotti","2022-03-11"
"1574367007",1501208588584430080,"2022-03-08 14:49:53","AndresZottos","2022-03-11"
